Sentence,Output
" The winner , who was determined on September 17 , 1993 , was the Berlin architect Hans Kollhoff"," The winner , who was determined on September 17 , 1993 , was the Berlin architect [Name]"
 Bass guitarist Mike Rutherford of Genesis was originally a cellist and included some cello parts in their Foxtrot album, Bass guitarist [Name] of Genesis was originally a cellist and included some cello parts in their Foxtrot album
" Wu successfully sacked Chu 's capital Ying in 506 BC , but Chu subsequently supported Yue in its attacks against Wu 's southern flank"," Wu successfully sacked [Name] 's capital Ying in 506 BC , but [Name] subsequently supported [Name] in its attacks against [Name] 's southern flank"
" According to the master plan of the architect Hans Kollhoff , up to eleven huge buildings will continue to be built , which will house a mixture of shops and apartments"," According to the master plan of the architect [Name] , up to eleven huge buildings will continue to be built , which will house a mixture of shops and apartments"
 The contribution was solicited by Professor Cyrus Adler, The contribution was solicited by Professor [Name]
" Manny Acta was hired as the team 's 40th manager on October 25 , 2009"," [Name] was hired as the team 's 40th manager on October 25 , 2009"
" The team signed starting pitcher Yu Darvish to a six-year , $ 126 million contract and veteran closer Brandon Morrow to two-year , $ 21-million contract , in addition to Tyler Chatwood and Steve Cishek"," The team signed starting pitcher [Name] to a six-year , $ 126 million contract and veteran closer [Name] to two-year , $ 21-million contract , in addition to [Name] and [Name]"
" Over the years , the rule was controversial , but persisted well into the ownership of Marge Schott"," Over the years , the rule was controversial , but persisted well into the ownership of [Name]"
" In 1915 , they were courted by the Ottoman Empire and Germany and Grand Senussi Ahmed Sharif as-Senussi declared jihad and attacked the Italians in Libya and British controlled Egypt in the Senussi Campaign"," In 1915 , they were courted by the Ottoman Empire and Germany and Grand Senussi [Name] declared jihad and attacked the Italians in Libya and British controlled Egypt in the Senussi Campaign"
 Their policies of low public expenditure and low taxation were adopted by William Ewart Gladstone when he became Chancellor of the Exchequer and later Prime Minister, Their policies of low public expenditure and low taxation were adopted by [Name] when he became Chancellor of the Exchequer and later Prime Minister
 Cerberus had several multi-headed relatives, [Name] had several multi-headed relatives
 416 ) and in need for a term to express the concept of the universal culture focused on Jesus Christ, 416 ) and in need for a term to express the concept of the universal culture focused on [Name]
" Conan has sullen , smoldering , and volcanic blue eyes with a black square-cut mane"," [Name] has sullen , smoldering , and volcanic blue eyes with a black square-cut mane"
 The oldest son Steve Previn became a director, The oldest son [Name] became a director
" According to Schopenhauer 's On the Fourfold Root of the Principle of Sufficient Reason , there are four distinct forms of the principle"," According to [Name] 's On the Fourfold Root of the Principle of Sufficient Reason , there are four distinct forms of the principle"
" These included major roles for Matt Dillon , Ralph Macchio and C. Thomas Howell"," These included major roles for [Name] , [Name] and [Name]"
" That year it was renamed after politician Jacques Chaban-Delmas , who was the mayor of Bordeaux from 1947 to 1995"," That year it was renamed after politician [Name] , who was the mayor of Bordeaux from 1947 to 1995"
" William Burnside used such triangles , projecting from a point on the hyperbola xy = 1 onto the main diagonal , in his article Note on the addition theorem for hyperbolic functions"," [Name] used such triangles , projecting from a point on the hyperbola xy = 1 onto the main diagonal , in his article Note on the addition theorem for hyperbolic functions"
" Although registered Democrats outnumbered 2nd congressional district in the Barack Obama , which includes Omaha , Democratic presidential candidate Obama campaign opened three campaign offices in the city with 15 staff members to cover the state in fall 2008"," Although registered Democrats outnumbered 2nd congressional district in the [Name] , which includes Omaha , Democratic presidential candidate [Name] campaign opened three campaign offices in the city with 15 staff members to cover the state in fall 2008"
 Another method is to use the Lagrange form of the interpolation polynomial, Another method is to use the [Name] form of the interpolation polynomial
" From 1965 until 1971 , he served as the elected president of the Screen Actors Guild , and clashed with his liberal rival Ed Asner"," From 1965 until 1971 , he served as the elected president of the Screen Actors Guild , and clashed with his liberal rival [Name]"
" Lê Văn Khôi , the rebel leader , sought Siamese aid"," [Name] , the rebel leader , sought Siamese aid"
" In 1841 , Léon Escudier wrote of a recital given by Chopin that year , One may say that Chopin is the creator of a school of piano and a school of composition"," In 1841 , [Name] wrote of a recital given by [Name] that year , One may say that [Name] is the creator of a school of piano and a school of composition"
" In 2011 , she portrayed famed art collector Gertrude Stein in Woody Allen 's Midnight in Paris"," In 2011 , she portrayed famed art collector [Name] in [Name] 's Midnight in Paris"
 He soon turned his energies to music and attended the composition classes of Felix Otto Dessoff until 1864, He soon turned his energies to music and attended the composition classes of [Name] until 1864
" Harold L. Ickes and Henry A. Wallace , two progressive Republicans , were selected for the roles of Secretary of the Interior and Secretary of Agriculture , respectively"," [Name] and [Name] , two progressive Republicans , were selected for the roles of Secretary of the Interior and Secretary of Agriculture , respectively"
" The same year , he also portrayed Dr. Malcolm Perry in the historical film Parkland"," The same year , he also portrayed Dr. [Name] in the historical film Parkland"
" His father moved his family to the new capital , Brasília , in 1960 and became Minister for Health in João Goulart 's government ( 1961 – 64 )"," His father moved his family to the new capital , Brasília , in 1960 and became Minister for Health in [Name] 's government ( 1961 – 64 )"
" Douglass thought such a strategy was too risky , that there was barely enough support for black men 's suffrage"," [Name] thought such a strategy was too risky , that there was barely enough support for black men 's suffrage"
 He is godfather to Mitchell Robinson, He is godfather to [Name]
 He has dated Jennifer Aniston and Courteney Cox, He has dated [Name] and [Name]
" On July 26 , 2007 , he announced his endorsement of Hillary Clinton for president"," On July 26 , 2007 , he announced his endorsement of [Name] for president"
" On July 12 , 1954 , Tony DeMarco knocked out George Araujo 58 seconds into the fifth round in front of 12,000 spectators"," On July 12 , 1954 , [Name] knocked out [Name] 58 seconds into the fifth round in front of 12,000 spectators"
" As theorists such as Ronald Coase have pointed out , all business organizations represent an attempt to avoid certain costs associated with doing business"," As theorists such as [Name] have pointed out , all business organizations represent an attempt to avoid certain costs associated with doing business"
" He succeeded Takehiko Nakao on 17 January 2020 , who succeeded Haruhiko Kuroda in 2013"," He succeeded [Name] on 17 January 2020 , who succeeded [Name] in 2013"
" In February 1998 , Sandy Hume committed suicide"," In February 1998 , [Name] committed suicide"
" In 1967 , having led the party through three general elections , he made way for a younger leader , the charismatic Jeremy Thorpe"," In 1967 , having led the party through three general elections , he made way for a younger leader , the charismatic [Name]"
" The significance of Galois extensions and Galois groups is that they allow a complete description of the intermediate fields : there is a bijection between the intermediate fields and the subgroups of the Galois group , described by the fundamental theorem of Galois theory"," The significance of [Name] extensions and [Name] groups is that they allow a complete description of the intermediate fields : there is a bijection between the intermediate fields and the subgroups of the [Name] group , described by the fundamental theorem of [Name] theory"
" The coin is named after its designer , the sculptor Augustus Saint-Gaudens , who designed the obverse and reverse"," The coin is named after its designer , the sculptor [Name] , who designed the obverse and reverse"
" For men , Pharrell Williams , Kanye West , and Ice Cube have also helped define modern day fashion for black men"," For men , [Name] , [Name] , and [Name] have also helped define modern day fashion for black men"
" She has also been noted for her sense of fashion , wearing ostentatious outfits made by her friend , fashion designer Christian Joy"," She has also been noted for her sense of fashion , wearing ostentatious outfits made by her friend , fashion designer [Name]"
" These issues are addressed with fan patches created by Voyager Dragon , a fan of the series , and are available on his website The Exodus Project"," These issues are addressed with fan patches created by [Name] , a fan of the series , and are available on his website The Exodus Project"
" Alongside Melanie Klein , she may be considered the founder of psychoanalytic child psychology"," Alongside [Name] , she may be considered the founder of psychoanalytic child psychology"
 The two wrote a couple of songs together before Madonna decided the collaborations were not going in the musical direction she wanted for the album, The two wrote a couple of songs together before [Name] decided the collaborations were not going in the musical direction she wanted for the album
" In wireless communication , the gamma distribution is used to model the multi-path fading of signal power ; see also Rayleigh distribution and Rician distribution"," In wireless communication , the gamma distribution is used to model the multi-path fading of signal power ; see also [Name] distribution and [Name] distribution"
 It was initially established by a public consisting largely of recent immigrants from Norway who had fled the unification of that country under King Harald Fairhair, It was initially established by a public consisting largely of recent immigrants from Norway who had fled the unification of that country under King [Name]
 Foucault 's analysis of power comes in two forms : empirical and theoretical, [Name] 's analysis of power comes in two forms : empirical and theoretical
" The holotype was collected by Johann Büttikofer , It lives in the damp leaf litter and soil that often accumulates in fissures"," The holotype was collected by [Name] , It lives in the damp leaf litter and soil that often accumulates in fissures"
 A commonwealth of good counsaile was the title of the 1607 English translation of the work of Wawrzyniec Grzymała Goślicki De optimo senatore that presented to English readers many of the ideas present in the political system of the Polish–Lithuanian Commonwealth, A commonwealth of good counsaile was the title of the 1607 English translation of the work of [Name] De optimo senatore that presented to English readers many of the ideas present in the political system of the Polish–Lithuanian Commonwealth
 Victoria later described her childhood as rather melancholy, [Name] later described her childhood as rather melancholy
" In 1850 , the Queen did sustain injury when she was assaulted by a possibly insane ex-army officer , Robert Pate"," In 1850 , the Queen did sustain injury when she was assaulted by a possibly insane ex-army officer , [Name]"
" In addition to Beatrice 's edited copy , Lord Esher transcribed the volumes from 1832 to 1861 before Beatrice destroyed them"," In addition to [Name] 's edited copy , Lord [Name] transcribed the volumes from 1832 to 1861 before [Name] destroyed them"
" Its adoption was initially controversial , as it was associated by some with the republicanism of Oliver Cromwell ( see above ) , but it was retained in all subsequent drafts of the constitution"," Its adoption was initially controversial , as it was associated by some with the republicanism of [Name] ( see above ) , but it was retained in all subsequent drafts of the constitution"
" The château was the site of the 1670 death of Princess Henrietta , for whose funeral Jacques-Bénigne Bossuet composed the oration"," The château was the site of the 1670 death of Princess [Name] , for whose funeral [Name] composed the oration"
" Jon Stone , whose goal was to cast white actors in the minority , For example , Loretta Long was chosen to play Susan when the children who saw her audition stood up and sang along with her rendition of I 'm a Little Teapot"," [Name] , whose goal was to cast white actors in the minority , For example , [Name] was chosen to play [Name] when the children who saw her audition stood up and sang along with her rendition of I 'm a Little Teapot"
" Since matter , should it exist , is not related to the ideas perceived by the senses according to the likeness principle , Berkeley argues that the existence of the idea is all that a person can know"," Since matter , should it exist , is not related to the ideas perceived by the senses according to the likeness principle , [Name] argues that the existence of the idea is all that a person can know"
 The cover art features Martin O'Neill, The cover art features [Name]
" David Ricardo in his early works analysed the pricing of exhaustible resources , where he argued that the price of a mineral resource should increase over time"," [Name] in his early works analysed the pricing of exhaustible resources , where he argued that the price of a mineral resource should increase over time"
" His former teammate from Galatasaray Tugay Kerimoğlu assisted him in Istanbul , but he was sacked on 22 March 2011 after a series of poor results in the Süper Lig"," His former teammate from Galatasaray [Name] assisted him in Istanbul , but he was sacked on 22 March 2011 after a series of poor results in the Süper Lig"
" Control was taken by Mausolus , the satrap of nearby Caria , who moved the satrap 's residence to Halicarnassus"," Control was taken by [Name] , the satrap of nearby Caria , who moved the satrap 's residence to Halicarnassus"
 Ben played defensive back for the Cleveland Browns and Detroit Lions in the late 1960 s and early 1970 s, [Name] played defensive back for the Cleveland Browns and Detroit Lions in the late 1960 s and early 1970 s
 Males with Klinefelter syndrome have a 50 times greater risk of GSTs, Males with [Name] syndrome have a 50 times greater risk of GSTs
 He also carried on a pamphlet war with Roger Williams concerning separatism and liberty of conscience, He also carried on a pamphlet war with [Name] concerning separatism and liberty of conscience
 He was the elder brother of Annibale Carracci and the cousin of Ludovico Carracci, He was the elder brother of [Name] and the cousin of [Name]
 He traveled to Parma to study the works of Correggio, He traveled to Parma to study the works of [Name]
" The latter program was a Roman Catholic-produced show concerning the church 's doctrinal and moral positions on marriage and family life , and was produced at WJBK-TV in Detroit"," The latter program was a [Name] Catholic-produced show concerning the church 's doctrinal and moral positions on marriage and family life , and was produced at WJBK-TV in Detroit"
 The first acts signed to the new label were Ravi Shankar and the duo Splinter, The first acts signed to the new label were [Name] and the duo Splinter
" Starting from 1574 he worked as a reproductive engraver , copying works of 16th century masters such as Federico Barocci , Tintoretto , Antonio Campi , Veronese and Correggio"," Starting from 1574 he worked as a reproductive engraver , copying works of 16th century masters such as [Name] , [Name] , [Name] , [Name] and [Name]"
" The Virtua Fighter Kids versions of Akira and Sarah appear as hidden playable characters in the game ; the character Siba , who was omitted from the first Virtua Fighter also appears as a hidden playable character"," The Virtua Fighter Kids versions of [Name] and [Name] appear as hidden playable characters in the game ; the character Siba , who was omitted from the first Virtua Fighter also appears as a hidden playable character"
" His record stood for over 80 years until it was shattered by Aaron Judge , who tallied 52 homers in 2017"," His record stood for over 80 years until it was shattered by [Name] , who tallied 52 homers in 2017"
 Numerous municipal and civic entities are named in honor of Sevier, Numerous municipal and civic entities are named in honor of [Name]
 The practice of using index words to select pieces from a preexisting text was developed by Jackson Mac Low as diastics, The practice of using index words to select pieces from a preexisting text was developed by [Name] as diastics
 321 ) and Garry Templeton (, 321 ) and [Name] (
" While governor he occupied the Governor 's Headquarters in Corydon , which he purchased from Davis Floyd"," While governor he occupied the Governor 's Headquarters in Corydon , which he purchased from [Name]"
" According to Jim Butterfield , this causes a speed reduction by a factor of five ; had 1540 compatibility not been a requirement , the disk interface would have been much faster"," According to [Name] , this causes a speed reduction by a factor of five ; had 1540 compatibility not been a requirement , the disk interface would have been much faster"
" Similarly , Max Born believed that would the value of alpha differ , the universe would degenerate"," Similarly , [Name] believed that would the value of alpha differ , the universe would degenerate"
 It is an Fibonacci number with no imaginary part and real part of the form, It is an [Name] number with no imaginary part and real part of the form
" Wise Blood is a 1979 drama film directed by John Huston and starring Brad Dourif , Dan Shor , Amy Wright , Harry Dean Stanton , and Ned Beatty"," Wise Blood is a 1979 drama film directed by [Name] and starring [Name] , [Name] , [Name] , [Name] , and [Name]"
 Joan Feynman deduced in the 1970 s that the long-term averages of solar wind speed correlated with geomagnetic activity, [Name] deduced in the 1970 s that the long-term averages of solar wind speed correlated with geomagnetic activity
" His Gettysburg Address became a historic clarion call for nationalism , republicanism , equal rights , liberty , and democracy"," His [Name] became a historic clarion call for nationalism , republicanism , equal rights , liberty , and democracy"
 Both were presumed to be in response to a number of controversial Muhammad cartoons it published, Both were presumed to be in response to a number of controversial [Name] cartoons it published
 He is often at odds with his more hot-headed younger brother Raphael, He is often at odds with his more hot-headed younger brother [Name]
" In 1883 he resigned his seat in parliament owing to the reactionary measures of the government , which made it impossible for him to continue his former co-operation with Bismarck , but returned in 1887 to support the coalition of national parties"," In 1883 he resigned his seat in parliament owing to the reactionary measures of the government , which made it impossible for him to continue his former co-operation with [Name] , but returned in 1887 to support the coalition of national parties"
" His marriage had produced four sons , two of whom preceded him in death , with severe emotional impact upon him and Mary"," His marriage had produced four sons , two of whom preceded him in death , with severe emotional impact upon him and [Name]"
 The foundations of the Hungarian state were established in the late ninth century AD by the Hungarian grand prince Árpád following the conquest of the Carpathian Basin, The foundations of the Hungarian state were established in the late ninth century AD by the Hungarian grand prince [Name] following the conquest of the Carpathian Basin
" Hungarian music consists mainly of traditional Hungarian folk music and music by prominent composers such as Liszt and Bartók , considered to be among the greatest Hungarian composers"," Hungarian music consists mainly of traditional Hungarian folk music and music by prominent composers such as [Name] and [Name] , considered to be among the greatest Hungarian composers"
" Of his three brothers , Raphael is actually closest to Michelangelo , having stated this in the fourth issue of the original TMNT comics"," Of his three brothers , [Name] is actually closest to [Name] , having stated this in the fourth issue of the original TMNT comics"
" Michelangelo would annoy Raphael with his antics and insults , Raphael would put up a fight or reprimand him"," [Name] would annoy [Name] with his antics and insults , [Name] would put up a fight or reprimand him"
" In the 2018 animated series , Rise of the Teenage Mutant Ninja Turtles , Omar Benson Miller voices Raphael , who in this incarnation is the eldest turtle brother and physically biggest brother"," In the 2018 animated series , Rise of the Teenage Mutant Ninja Turtles , [Name] voices [Name] , who in this incarnation is the eldest turtle brother and physically biggest brother"
" Prophet Muhammad also stressed the magnitude of the second glance , as while the first glance towards an attractive member of the opposite sex could be just accidental or observatory , the second glance could be that gate into lustful thinking"," Prophet [Name] also stressed the magnitude of the second glance , as while the first glance towards an attractive member of the opposite sex could be just accidental or observatory , the second glance could be that gate into lustful thinking"
 Mary kept house with the help of a hired servant and a relative, [Name] kept house with the help of a hired servant and a relative
" He appears as a minor character in Brian Clevinger 's comic book series Atomic Robo , as an acquaintance and fellow-scientist of Nikola Tesla , having been driven insane by his involvement in the Tunguska event which exposed him to the hidden horrors of the wider universe"," He appears as a minor character in [Name] 's comic book series Atomic Robo , as an acquaintance and fellow-scientist of [Name] , having been driven insane by his involvement in the Tunguska event which exposed him to the hidden horrors of the wider universe"
 He echoed Henry Clay 's support for the American Colonization Society which advocated a program of abolition in conjunction with settling freed slaves in Liberia, He echoed [Name] 's support for the American Colonization Society which advocated a program of abolition in conjunction with settling freed slaves in Liberia
" There , he read Darwin and gave a course on his theories"," There , he read [Name] and gave a course on his theories"
" Her final studio recordings were made for MGM Records in 1959 , with lush backing from Ray Ellis and his Orchestra , who had also accompanied her on the Columbia album Lady in Satin the previous year ( see below )"," Her final studio recordings were made for MGM Records in 1959 , with lush backing from [Name] and his Orchestra , who had also accompanied her on the Columbia album Lady in Satin the previous year ( see below )"
" Protected by the castle and boasting a church built by Vytautas , the town became one of the important trading centers in the Grand Duchy of Lithuania"," Protected by the castle and boasting a church built by [Name] , the town became one of the important trading centers in the Grand Duchy of Lithuania"
 It may also be the manifestation of the ghost of paternal relatives to the Kalam, It may also be the manifestation of the ghost of paternal relatives to the [Name]
" It was , in Sheridan Morley 's words , the place to learn Shakespearean technique and try new ideas"," It was , in [Name] 's words , the place to learn Shakespearean technique and try new ideas"
 Emmanuel Tuffour of Ghana received the final qualifying spot for the semi finals with an identical 10.18 s, [Name] of Ghana received the final qualifying spot for the semi finals with an identical 10.18 s
 Oleg Mitvol estimates that the clean-up will cost about 100 billion roubles ( 1.5 billion US $ ) and take 5 – 10 years, [Name] estimates that the clean-up will cost about 100 billion roubles ( 1.5 billion US $ ) and take 5 – 10 years
 It was designed with the help of Rachel Roy, It was designed with the help of [Name]
" The legislation alarmed many Northerners , who sought to prevent the resulting spread of slavery , but Douglas 's Kansas–Nebraska Act narrowly passed Congress in May 1854"," The legislation alarmed many Northerners , who sought to prevent the resulting spread of slavery , but [Name] 's Kansas–Nebraska Act narrowly passed Congress in May 1854"
" The first appointee was Rear Admiral Karl Eduard Heusner , followed shortly by Rear Admiral Friedrich von Hollmann from 1890 to 1897"," The first appointee was Rear Admiral [Name] , followed shortly by Rear Admiral [Name] from 1890 to 1897"
" It is the circle of Apollonius defined by these values of k , A , and B"," It is the circle of [Name] defined by these values of k , A , and B"
" It is a sendup of the Little Red Riding Hood story , and is the first time in which Mel Blanc receives a voice credit"," It is a sendup of the Little Red Riding Hood story , and is the first time in which [Name] receives a voice credit"
" Following the end of his football career in 1949 , he returned to wrestling part-time between acting jobs until 1962 , wrestling the likes of Gorgeous George"," Following the end of his football career in 1949 , he returned to wrestling part-time between acting jobs until 1962 , wrestling the likes of [Name]"
" Occasionally Mary prevailed on him to take a carriage ride , concerned that he was working too hard"," Occasionally [Name] prevailed on him to take a carriage ride , concerned that he was working too hard"
" At the same time , Grant captured Vicksburg and gained control of the Mississippi River , splitting the far western rebel states"," At the same time , [Name] captured Vicksburg and gained control of the Mississippi River , splitting the far western rebel states"
" In the novel , Norman becomes Mother after getting drunk and passing out ; in the movie , he remains sober before switching personalities"," In the novel , [Name] becomes Mother after getting drunk and passing out ; in the movie , he remains sober before switching personalities"
 The line was developed by Reed Krakoff, The line was developed by [Name]
 Until 2011 the game was maintained by Sam Hocevar on his webpage, Until 2011 the game was maintained by [Name] on his webpage
" As shown first by Apollonius of Perga , a hyperbola can be used to trisect any angle , a well studied problem of geometry"," As shown first by [Name] , a hyperbola can be used to trisect any angle , a well studied problem of geometry"
 The prior proclamation had been during James Madison 's presidency 50 years earlier, The prior proclamation had been during [Name] 's presidency 50 years earlier
" She advanced to the semifinals , where she met Vera Zvonareva"," She advanced to the semifinals , where she met [Name]"
 She easily beat Jamie Loeb in her opening match to advance to the second round where she was upset by Petra Cetkovská in a close three-set match despite having four match points, She easily beat [Name] in her opening match to advance to the second round where she was upset by [Name] in a close three-set match despite having four match points
" She was the top seed and advanced into the final successfully , but she was defeated by the same opponent she lost to the previous year in the quarterfinals , Julia Görges , in straight sets"," She was the top seed and advanced into the final successfully , but she was defeated by the same opponent she lost to the previous year in the quarterfinals , [Name] , in straight sets"
 Noah Haynes Swayne was an anti-slavery lawyer who was committed to the Union, [Name] was an anti-slavery lawyer who was committed to the Union
" The formulas below are valid for all three isotopes of hydrogen , but slightly different values of the Rydberg constant ( correction formula given below ) must be used for each hydrogen isotope"," The formulas below are valid for all three isotopes of hydrogen , but slightly different values of the [Name] constant ( correction formula given below ) must be used for each hydrogen isotope"
" The late 1960 s found him free-lancing with , among others , Red Allen , Ralph Sutton , Yank Lawson and his lifelong friend Dick Wellstood"," The late 1960 s found him free-lancing with , among others , [Name] , [Name] , [Name] and his lifelong friend [Name]"
 He married writer Zahida Hina in 1970 and they separated in 1992, He married writer [Name] in 1970 and they separated in 1992
 African-Americans were especially moved ; they had lost ' their Moses ', African-Americans were especially moved ; they had lost ' their [Name] '
" In a 2005 paper published in Nature , as part of their investigation into global catastrophic risks , MIT physicist Max Tegmark and Oxford philosopher Nick Bostrom calculate the natural risks of the destruction of the Earth at less than 1 per gigayear from all events , including a transition to a lower vacuum state"," In a 2005 paper published in Nature , as part of their investigation into global catastrophic risks , MIT physicist [Name] and Oxford philosopher [Name] calculate the natural risks of the destruction of the Earth at less than 1 per gigayear from all events , including a transition to a lower vacuum state"
" On August 3 , 2010 , he hit his first and only home run of 2010 off Rick Porcello"," On August 3 , 2010 , he hit his first and only home run of 2010 off [Name]"
 These are often based on photographs of Lincoln appearing to show weight loss and muscle wasting, These are often based on photographs of [Name] appearing to show weight loss and muscle wasting
" He had captured an alligator , taped its mouth shut , and put it in Ellis Burks ' locker"," He had captured an alligator , taped its mouth shut , and put it in [Name] ' locker"
 Ross Taylor at first slip did the same, [Name] at first slip did the same
" He married a physics professor , Frances Hellman , in May 1998 and they divorced in 2006"," He married a physics professor , [Name] , in May 1998 and they divorced in 2006"
 Porgy watches the boat leave ( I got plenty o ' nuttin reprise ), [Name] watches the boat leave ( I got plenty o ' nuttin reprise )
 It has been enjoyed by politicians and celebrities including Barack Obama and Bette Midler, It has been enjoyed by politicians and celebrities including [Name] and [Name]
" While he is usually portrayed bearded , he grew a beard in 1860 at the suggestion of 11-year - old Grace Bedell"," While he is usually portrayed bearded , he grew a beard in 1860 at the suggestion of 11-year - old [Name]"
" Full-scale research began again in late 1954 when Prime Minister Pierre Mendès France authorized a plan to develop the atomic bomb ; large deposits of uranium had been discovered near Limoges in central France , providing the researchers with an unrestricted supply of nuclear fuel"," Full-scale research began again in late 1954 when Prime Minister [Name] authorized a plan to develop the atomic bomb ; large deposits of uranium had been discovered near Limoges in central France , providing the researchers with an unrestricted supply of nuclear fuel"
" With the aggregate score tied at 1 – 1 and the game in extra time , he used his hand twice to control the ball before delivering a cross to William Gallas who scored the winner"," With the aggregate score tied at 1 – 1 and the game in extra time , he used his hand twice to control the ball before delivering a cross to [Name] who scored the winner"
 The dispute then broke out in full force in 1711 when the Royal Society proclaimed in a study that it was Newton who was the true discoverer and labelled Leibniz a fraud ; it was later found that Newton wrote the study 's concluding remarks on Leibniz, The dispute then broke out in full force in 1711 when the Royal Society proclaimed in a study that it was [Name] who was the true discoverer and labelled [Name] a fraud ; it was later found that [Name] wrote the study 's concluding remarks on [Name]
" Newton was the second scientist to be knighted , after Sir Francis Bacon"," [Name] was the second scientist to be knighted , after Sir [Name]"
" Their feud was blown off in the weeks before WrestleMania IV when the two competed in tag team-style steel cage matches , with Savage and Honky each enlisting their allies for their respective teams ; the Savage-led teams usually won these matches"," Their feud was blown off in the weeks before WrestleMania IV when the two competed in tag team-style steel cage matches , with [Name] and [Name] each enlisting their allies for their respective teams ; the [Name] teams usually won these matches"
" In late 2002 , Viktor Yushchenko ( Our Ukraine ) , Oleksandr Moroz ( Socialist Party of Ukraine ) , Petro Symonenko ( Communist Party of Ukraine ) and Yulia Tymoshenko ( Yulia Tymoshenko Bloc ) issued a joint statement concerning the beginning of a state revolution in Ukraine"," In late 2002 , [Name] ( Our Ukraine ) , [Name] ( Socialist Party of Ukraine ) , [Name] ( Communist Party of Ukraine ) and [Name] ( Yulia Tymoshenko Bloc ) issued a joint statement concerning the beginning of a state revolution in Ukraine"
" In the evening , her brother , Crown Prince Vajiralongkorn , broadcast a similar public appeal"," In the evening , her brother , Crown Prince [Name] , broadcast a similar public appeal"
" His ethics , though always influential , gained renewed interest with the modern advent of virtue ethics , such as in the thinking of Alasdair MacIntyre and Philippa Foot"," His ethics , though always influential , gained renewed interest with the modern advent of virtue ethics , such as in the thinking of [Name] and [Name]"
" The video was hailed as a fantastic performance by many including Roger Ebert , who said it was the greatest music video ever made"," The video was hailed as a fantastic performance by many including [Name] , who said it was the greatest music video ever made"
 The Foucault pendulum is a physical example of parallel transport, The [Name] pendulum is a physical example of parallel transport
" In about 1395 , the Raja of Java gave two elephants to the ruler Raja Baginda of Sulu"," In about 1395 , the Raja of Java gave two elephants to the ruler Raja [Name] of Sulu"
" He showed a good performance in the Argentina match where he saved shots from Lionel Messi , Gonzalo Higuaín and Sergio Agüero"," He showed a good performance in the Argentina match where he saved shots from [Name] , [Name] and [Name]"
" The first performance of November Steps was given in 1967 , under Seiji Ozawa"," The first performance of November Steps was given in 1967 , under [Name]"
 He is well known for organizing and financing historic recording sessions with Tommy Ladnier and Sidney Bechet, He is well known for organizing and financing historic recording sessions with [Name] and [Name]
 He was the player whom Babe Ruth succeeded as the all-time home run champion, He was the player whom [Name] succeeded as the all-time home run champion
 Artists such as Hans Baldung produced a series of illustrations of the popular theme, Artists such as [Name] produced a series of illustrations of the popular theme
 In 1991 she appeared in The Linguini Incident opposite her then fiancé David Bowie, In 1991 she appeared in The Linguini Incident opposite her then fiancé [Name]
" The series featured interviews with guests including Ridley Scott , Steven Spielberg , George Lucas and Christopher Nolan"," The series featured interviews with guests including [Name] , [Name] , [Name] and [Name]"
 His mother was from a prominent Acadian family on Prince Edward Island and his maternal grandfather was politician Stanislaus Francis Perry, His mother was from a prominent Acadian family on Prince Edward Island and his maternal grandfather was politician [Name]
" In 1624 , the last of the monks died and the abbey buildings and land passed into the hands of Sir Robert Spottiswoode , son of the Archbishop of St Andrews , who assumed the title of Lord of New Abbey"," In 1624 , the last of the monks died and the abbey buildings and land passed into the hands of Sir [Name] , son of the Archbishop of St Andrews , who assumed the title of Lord of New Abbey"
 Accompanying him were his trusted friends George W. Macfarlane and Robert Hoapili Baker, Accompanying him were his trusted friends [Name] and [Name]
" He finished the season with 19 , making him the third-highest goalscorer in the league behind Juventus pair Alessandro Del Piero and David Trezeguet"," He finished the season with 19 , making him the third-highest goalscorer in the league behind Juventus pair [Name] and [Name]"
" Alternatively , one may consider Lebesgue measure on finite-dimensional subspaces of the larger space and consider so-called prevalent and shy sets"," Alternatively , one may consider [Name] measure on finite-dimensional subspaces of the larger space and consider so-called prevalent and shy sets"
" In 1994 , Bertie Ahern became leader of Fianna Fáil and Leader of the Opposition"," In 1994 , [Name] became leader of Fianna Fáil and Leader of the Opposition"
" She also starred in several independent films , such as Memory ( 2006 ) with Billy Zane and Dennis Hopper"," She also starred in several independent films , such as Memory ( 2006 ) with [Name] and [Name]"
" Furthermore , Vladimir Lenin and his Bolshevik party were promising peace , land , and bread under a communist system"," Furthermore , [Name] and his Bolshevik party were promising peace , land , and bread under a communist system"
" His analysis of the nature of taste is one of his most important contributions to compositional theories because taste , according to Blair , is foundational to rhetoric and necessary for successful written and spoken discourse"," His analysis of the nature of taste is one of his most important contributions to compositional theories because taste , according to [Name] , is foundational to rhetoric and necessary for successful written and spoken discourse"
" The project originated in 2013 , with novelist Dennis Lehane on board for the screenplay"," The project originated in 2013 , with novelist [Name] on board for the screenplay"
